,score,evaluation_time,best,max_depth,num_trees,num_candidate_attributes_ratio
0,-0.28620555996894836,325.169541,False,30,500,0.2
1,-0.2884753942489624,351.780569,False,20,500,0.3
2,-0.2886551022529602,401.338335,False,25,500,0.3
3,-0.2885499596595764,480.342407,False,25,600,0.3
4,-0.28610673546791077,507.131555,False,25,800,0.2
5,-0.28607553243637085,549.996018,False,20,1000,0.2
6,-0.2844899594783783,577.657625,False,35,500,0.1
7,-0.286011666059494,679.01829,False,20,500,0.2
8,-0.29071810841560364,795.318431,False,40,800,0.4
9,-0.29070624709129333,862.218308,False,20,1000,0.4
10,-0.2906183898448944,925.475288,False,35,600,0.4
11,-0.2903814911842346,1078.778338,False,30,600,0.4
12,-0.28812286257743835,1126.127677,False,20,800,0.3
13,-0.28395748138427734,1140.003904,False,40,1000,0.1
14,-0.28388383984565735,1292.250705,False,20,1000,0.1
15,-0.28427228331565857,1348.958306,False,25,500,0.1
16,-0.287894606590271,1359.662122,False,40,1000,0.3
17,-0.288358598947525,1376.810952,False,30,600,0.3
18,-0.2880709171295166,1431.510793,False,30,1000,0.3
19,-0.2840215265750885,1607.094974,False,35,1000,0.1
20,-0.28581875562667847,1764.578818,False,40,1000,0.2
21,-0.28835970163345337,1788.239388,False,30,500,0.3
22,-0.29048794507980347,1825.393752,False,40,1000,0.4
23,-0.28414279222488403,1840.608262,False,25,1000,0.1
24,-0.28613871335983276,1900.626159,False,35,800,0.2
25,-0.2841370105743408,1984.258462,False,40,800,0.1
26,-0.2879982888698578,1998.052429,False,35,800,0.3
27,-0.28596851229667664,2107.621367,False,25,1000,0.2
28,-0.28420135378837585,2320.516679,False,35,800,0.1
29,-0.2836073637008667,2346.248998,True,30,1000,0.1
30,-0.28604814410209656,2381.688773,False,40,500,0.2
31,-0.28383615612983704,2387.857367,False,30,500,0.1
32,-0.2883308529853821,2408.923728,False,40,600,0.3
33,-0.28830066323280334,2487.765211,False,40,500,0.3
34,-0.2879711091518402,2551.934263,False,40,800,0.3
35,-0.2842562198638916,2881.03651,False,40,600,0.1
36,-0.28410646319389343,2942.557607,False,25,600,0.1
37,-0.2879093587398529,6049.171702,False,35,1000,0.3
38,-0.2859911322593689,6095.379791,False,20,600,0.2
39,-0.28834742307662964,6242.369764,False,35,600,0.3
40,-0.2859968841075897,6342.483906,False,40,600,0.2
41,-0.2861028015613556,6442.798289,False,25,600,0.2
42,-0.29027676582336426,6468.412683,False,25,800,0.4
43,-0.2844781279563904,6491.032374,False,40,500,0.1
44,-0.29043832421302795,6580.743424,False,20,500,0.4
45,-0.2906624674797058,6603.714455,False,40,600,0.4
46,-0.29067984223365784,6643.772447,False,20,600,0.4
47,-0.2882024943828583,6839.129155,False,25,1000,0.3
48,-0.29029974341392517,6886.534699,False,30,500,0.4
49,-0.2842875123023987,6933.405114,False,35,600,0.1
50,-0.2841547131538391,6955.68751,False,25,800,0.1
51,-0.29048505425453186,7007.947592,False,40,500,0.4
52,-0.2884407937526703,7069.528383,False,20,600,0.3
53,-0.2902286946773529,7122.790605,False,25,600,0.4
54,-0.2882574498653412,7155.546342,False,25,800,0.3
55,-0.28615134954452515,7197.532892,False,25,500,0.2
56,-0.2836722433567047,7282.543192,False,30,800,0.1
57,-0.28628167510032654,7370.501076,False,35,600,0.2
58,-0.28640949726104736,7434.596056,False,35,500,0.2
59,-0.2860519587993622,7502.509657,False,20,800,0.2
60,-0.28590789437294006,7553.042947,False,40,800,0.2
61,-0.28840532898902893,7629.079793,False,35,500,0.3
62,-0.2839265763759613,7645.367736,False,20,500,0.1
63,-0.28400447964668274,7703.860714,False,20,800,0.1
64,-0.28587806224823,7918.005367,False,30,800,0.2
65,-0.2860182523727417,7949.804697,False,35,1000,0.2
66,-0.2859784960746765,7962.56796,False,30,600,0.2
67,-0.2902868390083313,8197.080058,False,25,1000,0.4
68,-0.283930242061615,8221.750505,False,20,600,0.1
69,-0.2880483865737915,8402.717828,False,20,1000,0.3
70,-0.2903653681278229,8420.868725,False,30,800,0.4
71,-0.2858303189277649,8436.004035,False,30,1000,0.2
72,-0.2836708724498749,8549.611858,False,30,600,0.1
73,-0.2903337776660919,8663.776258,False,30,1000,0.4
74,-0.2907663583755493,8778.851318,False,20,800,0.4
75,-0.2904762029647827,8809.088384,False,35,500,0.4
76,-0.2901133596897125,8942.628725,False,25,500,0.4
77,-0.2904602885246277,9045.09396,False,35,1000,0.4
78,-0.28812840580940247,9090.136007,False,30,800,0.3
79,-0.2906797528266907,9201.614478,False,35,800,0.4
